sport,start_time_weekday_cat,start_time_daytime_cat,start_time_season_cat,duration_s,distance_km,calories_kcal,speed_avg_kmh,speed_max_kmh,start_lat,start_long,end_lat,end_long,hydration_l,created_date_year,created_date_month,created_date_day,created_date_hour,created_date_minute,created_date_second,start_time_year,start_time_month,start_time_day,start_time_hour,start_time_minute,start_time_second,end_time_year,end_time_month,end_time_day,end_time_hour,end_time_minute,end_time_second,sport_BADMINTON,sport_BEACH_VOLLEY,sport_CROSSFIT,sport_CROSS_TRAINING,sport_CYCLING_SPORT,sport_CYCLING_TRANSPORTATION,sport_FITNESS_WALKING,sport_ICE_SKATING,sport_ROLLER_SKATING,sport_RUNNING,sport_RUNNING_CANICROSS,sport_SKIING_CROSS_COUNTRY,sport_STAIR_CLIMBING,sport_STRETCHING,sport_SWIMMING,sport_WALKING,sport_WEIGHT_TRAINING,source_INPUT_MANUAL_MOBILE,source_TRACK_MOBILE,start_time_weekday_Friday,start_time_weekday_Monday,start_time_weekday_Saturday,start_time_weekday_Sunday,start_time_weekday_Thursday,start_time_weekday_Tuesday,start_time_weekday_Wednesday,start_time_daytime_AFTERNOON,start_time_daytime_EVENING,start_time_daytime_MORNING,start_time_daytime_NIGHT,start_time_season_AUTUMN,start_time_season_SPRING,start_time_season_SUMMER,start_time_season_WINTER
WALKING,Sunday,MORNING,WINTER,2084,2.15,171.651,3.714011516314779,6.3,64.231747,27.729461,64.231976,27.729551,0.13289327687626773,2017,1,1,8,54,23,2017,1,1,8,53,4,2017,1,1,9,27,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
WEIGHT_TRAINING,Sunday,AFTERNOON,WINTER,2400,0.0,393.333,0.0,2.400000035762787,64.231885,27.729526,64.231758,27.729491,0.2025800774647887,2017,1,1,15,2,4,2017,1,1,14,1,0,2017,1,1,14,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
WALKING,Sunday,EVENING,WINTER,1566,1.69,132.168,3.885057471264367,5.4,64.231885,27.729526,64.231758,27.729491,0.13289327687626773,2017,1,1,17,47,3,2017,1,1,17,46,0,2017,1,1,18,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
WALKING,Monday,MORNING,WINTER,1812,2.07,157.828,4.112582781456953,6.3,64.231953,27.72953,64.231829,27.72953,0.13289327687626773,2017,1,2,8,57,23,2017,1,2,8,55,52,2017,1,2,9,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
RUNNING,Monday,AFTERNOON,WINTER,2444,5.87,591.404,8.646481178396073,12.6,64.231735,27.729492,64.232033,27.729567,0.2855424999999999,2017,1,2,16,20,51,2017,1,2,16,13,34,2017,1,2,16,54,52,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
WALKING,Tuesday,MORNING,WINTER,1963,2.15,167.024,3.942944472745797,6.3,64.231823,27.729661,64.232015,27.729586,0.13289327687626773,2017,1,3,9,25,22,2017,1,3,9,19,16,2017,1,3,9,53,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
SKIING_CROSS_COUNTRY,Tuesday,AFTERNOON,WINTER,3000,7.4,787.0,8.88,32.52133076923077,64.231823,27.729661,64.232015,27.729586,0.36871936842105263,2017,1,3,17,41,24,2017,1,3,11,40,0,2017,1,3,12,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
WALKING,Tuesday,EVENING,WINTER,1927,2.46,178.907,4.595744680851063,5.4,64.231801,27.729599,64.231802,27.72948,0.13289327687626773,2017,1,3,17,54,10,2017,1,3,17,52,29,2017,1,3,18,24,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
WALKING,Wednesday,MORNING,WINTER,1583,1.75,135.384,3.979785217940619,6.3,64.231722,27.729681,64.232009,27.729509,0.13289327687626773,2017,1,4,9,16,33,2017,1,4,8,52,12,2017,1,4,9,18,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
WALKING,Wednesday,MORNING,WINTER,1695,1.1,109.328,2.336283185840708,9.0,64.232103,27.729427,64.227211,27.728924,0.13289327687626773,2017,1,4,9,52,22,2017,1,4,9,50,10,2017,1,4,10,18,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
