Columns Name,min_values,max_values
duration_s,7.0,16742.0
distance_km,0.0,35.49864196777344
calories_kcal,0.10086510083945138,1540.0
speed_avg_kmh,0.0,267.4285616193499
speed_max_kmh,0.0,145.446
start_lat,40.761649,68.909689
start_long,-0.3753749999999999,29.648962
end_lat,40.76171,68.90983
end_long,-0.375378,29.649049
hydration_l,0.000203,0.769048
created_date_year,2017.0,2020.0
created_date_month,1.0,12.0
created_date_day,1.0,31.0
created_date_hour,2.0,22.0
created_date_minute,0.0,59.0
created_date_second,0.0,59.0
start_time_year,2017.0,2020.0
start_time_month,1.0,12.0
start_time_day,1.0,31.0
start_time_hour,2.0,22.0
start_time_minute,0.0,59.0
start_time_second,0.0,59.0
end_time_year,2017.0,2020.0
end_time_month,1.0,12.0
end_time_day,1.0,31.0
end_time_hour,2.0,23.0
end_time_minute,0.0,59.0
end_time_second,0.0,59.0
sport_BADMINTON,0.0,1.0
sport_BEACH_VOLLEY,0.0,1.0
sport_CROSSFIT,0.0,1.0
sport_CROSS_TRAINING,0.0,1.0
sport_CYCLING_SPORT,0.0,1.0
sport_CYCLING_TRANSPORTATION,0.0,1.0
sport_FITNESS_WALKING,0.0,1.0
sport_ICE_SKATING,0.0,1.0
sport_ROLLER_SKATING,0.0,1.0
sport_RUNNING,0.0,1.0
sport_RUNNING_CANICROSS,0.0,1.0
sport_SKIING_CROSS_COUNTRY,0.0,1.0
sport_STAIR_CLIMBING,0.0,1.0
sport_STRETCHING,0.0,1.0
sport_SWIMMING,0.0,1.0
sport_WALKING,0.0,1.0
sport_WEIGHT_TRAINING,0.0,1.0
source_INPUT_MANUAL_MOBILE,0.0,1.0
source_TRACK_MOBILE,0.0,1.0
start_time_weekday_Friday,0.0,1.0
start_time_weekday_Monday,0.0,1.0
start_time_weekday_Saturday,0.0,1.0
start_time_weekday_Sunday,0.0,1.0
start_time_weekday_Thursday,0.0,1.0
start_time_weekday_Tuesday,0.0,1.0
start_time_weekday_Wednesday,0.0,1.0
start_time_daytime_AFTERNOON,0.0,1.0
start_time_daytime_EVENING,0.0,1.0
start_time_daytime_MORNING,0.0,1.0
start_time_daytime_NIGHT,0.0,1.0
start_time_season_AUTUMN,0.0,1.0
start_time_season_SPRING,0.0,1.0
start_time_season_SUMMER,0.0,1.0
start_time_season_WINTER,0.0,1.0
